seed,regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
42,noise_free,Output1,X1,2.0,7,cubic,9,3,0.021993404825859778,0.017074755872823626,0.9909933237665368
42,noise_free,Output1,X1,2.0,7,rbf,9,3,0.028940405393884292,0.026631213608587185,0.984404875881657
42,noise_free,Output1,X1,2.0,8,rbf,9,3,0.023650975936715918,0.02282540285359443,0.9980400533401679
42,noise_free,Output1,X1,2.0,9,cubic,9,3,0.0010885974425647745,0.0006935857401962527,0.9999960279679808
42,noise_free,Output1,X1,2.0,9,rbf,9,3,0.013902881743180832,0.013803228670922133,0.9993521301363235
42,noise_free,Output1,X1,2.0,10,rbf,9,3,0.04137559646580662,0.03288785428398574,0.9950191163167793
42,noise_free,Output1,X1,2.0,11,rbf,9,3,0.026441350671657142,0.023727961463029246,0.9640460633507764
42,noise_free,Output1,X1,2.0,12,cubic,9,3,0.021667856030337777,0.016835581540742457,0.9952538718073024
42,noise_free,Output1,X1,2.0,12,rbf,9,3,0.012023913096816573,0.010884230726139718,0.9985384985884836
42,noise_free,Output1,X1,2.0,13,rbf,9,3,0.08662276167391492,0.08466558030314826,0.9565868764256226
42,noise_free,Output1,X1,2.0,14,rbf,9,3,0.044564537682102376,0.03243982369722135,0.9903219602506812
42,noise_free,Output1,X1,2.0,15,rbf,9,3,0.02157317768530581,0.019664767996033856,0.9976927758630459
42,noise_free,Output1,X1,2.0,16,rbf,9,3,0.03619088761119663,0.027796812105722008,0.9978204129935901
42,noise_free,Output1,X1,2.0,17,rbf,9,3,0.045971933078313494,0.03287819236176226,0.9948573735823163
42,noise_free,Output1,X1,2.0,18,rbf,9,3,0.025594579139933685,0.023832393099138944,0.9979572964536869
42,noise_free,Output1,X1,2.0,19,rbf,9,3,0.037135889181749204,0.026903621836800912,0.9967048961365226
42,noise_free,Output1,X1,2.0,20,rbf,9,3,0.021406065670454017,0.019684508383223626,0.9966638185890195
42,noise_free,Output1,X1,2.0,21,rbf,9,3,0.015580707992389942,0.015227165871870637,0.9994821705450578
42,noise_free,Output1,X1,2.0,22,rbf,9,3,0.017534496184073125,0.012399251253460086,0.997351639826842
42,noise_free,Output1,X1,2.0,23,rbf,9,3,0.04311485904998254,0.03542764805281736,0.9898225877282396
42,noise_free,Output1,X1,2.0,24,cubic,9,3,0.016296498679419843,0.00959772342785925,0.9992762640896811
42,noise_free,Output1,X1,2.0,24,rbf,9,3,0.018895031463043176,0.01824009446911982,0.9990270584529538
42,noise_free,Output1,X1,2.0,25,cubic,9,3,0.01615677523103617,0.00964455232943795,0.9977514640740431
42,noise_free,Output1,X1,2.0,25,rbf,9,3,0.009853245155538282,0.00909382199228522,0.9991637251397789
42,noise_free,Output1,X1,2.0,26,rbf,9,3,0.013036256674542166,0.011917484224867417,0.9997540388313989
42,noise_free,Output1,X1,2.0,27,rbf,9,3,0.02657098508375261,0.0253793975153922,0.9964999289809966
42,noise_free,Output1,X1,2.0,28,cubic,9,3,0.023153087717511085,0.019050085531657917,0.9981223408457747
42,noise_free,Output1,X1,2.0,28,rbf,9,3,0.013894248193634483,0.011861625564341338,0.9993238095551596
